Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1920,28.7,32.7,45.5,52.7,60,71.6,75,74.9,68.8,61.2,45.9,39.3,54.7
1921,36.6,39,55.5,59.1,62.3,74.2,79.3,72.7,74.4,57,47.5,37.9,58
1922,31.9,38.7,45.3,55.6,66.9,74.5,76.6,73.1,69.9,59.4,47.9,37.6,56.5
1923,36.8,32.6,45.3,53.6,63.4,75.6,75.7,74.4,69.7,56.1,45.1,45,56.1
1924,35,34.3,42.6,51.9,60,71.3,75,74.8,64.3,57.5,46,36.5,54.1
1925,32.9,43.1,46.4,56.9,60.6,77.4,76.8,73,72.8,52,44.3,36.9,56.1
1926,33.8,36.5,40.1,51.9,64.3,69.1,76.7,76.3,69,57.3,45.1,33.8,54.5
1927,34,42.1,47.6,51.9,64,68.5,76.5,70,70.1,60.4,51,39.1,56.3
1928,35.9,37.6,44.1,51.9,63.1,71,78.1,77,64.9,59.9,49.4,39.2,56
1929,34.9,35.1,50.3,57.7,64.5,72.4,76.9,74.4,70.2,55.7,47.6,38.4,56.5
1930,35.6,41.9,45,53.1,67.3,75.1,80.4,76.9,76.1,56.1,46.7,35.7,57.5
1931,37,39.4,41.3,54.3,65.1,73.3,79.7,75.6,74.1,61.2,54,44.3,58.3
1932,46.8,42.9,40.1,52.6,64.1,73.2,77.4,77.8,70.3,58,44.7,39.6,57.3
1933,42.6,38.4,43,55.7,67.2,74.7,76.1,76,71.8,56.5,45,38.5,57.1
1934,39,24.6,41.2,53.9,66.5,77.2,80.8,74.1,70.6,56.2,49.6,37.3,55.9
1935,33.3,35.4,50.2,51.9,61.8,73.4,79.5,76.8,67,58.2,50.3,32.1,55.8
1936,30.6,29.6,50.3,52.2,67.4,72.8,78.3,77.9,71.5,59.7,45,39.9,56.3
1937,43.8,36.6,42.1,53.3,65.8,75.1,77.2,77.9,65.9,55.3,46.6,37,56.4
1938,35.7,40.9,49.8,57.1,63.4,72.7,78.4,78.7,67.4,58.7,49.7,38.4,57.6
1939,37.7,42.3,46.4,53.5,68,75.4,76.1,78.9,71,58.4,46,40.1,57.8
1940,24.9,37.1,40.7,50.9,64.4,74.7,77.5,73.4,66.9,55.7,48.2,42.8,54.8
1941,34.7,33.9,39.9,60.5,66.8,73.2,77.4,76.1,72.8,64.4,50.4,41.9,57.7
1942,34.9,34.2,47.3,59.1,69.1,74.4,78.8,75.1,70.4,60.3,48.3,34.9,57.2
1943,36.2,38.8,45.4,51.2,67.1,79.3,78.5,79,67.6,56.4,46.7,36.4,56.9
1944,37.4,38.1,43,53.8,71.6,74.8,79.3,76.3,70.5,56.5,47.4,34.4,56.9
1945,30.9,38.5,56.2,59.5,62.8,74.5,76.5,74.8,72.8,57.7,49.3,32.9,57.2
1946,36.8,39.2,53.1,55.9,65.3,72.4,76.2,72.5,70.4,61.4,52,41.5,58.1
1947,41.7,31.5,40,57.2,64.6,71.7,75.5,79,69.8,64.5,46.2,36.6,56.5
1948,28.8,36.8,48,55.9,64.6,74,78,75.8,69.4,56.1,51.4,40.1,56.6
1949,42.6,43.9,46.7,55.1,66,75.1,81,77.6,67.1,63.4,48.1,41.9,59
1950,47.9,38.6,41.7,52.4,64.5,73.9,76.1,75.6,66.9,61,47.9,35.5,56.8
1951,39.3,38.5,45.5,55.9,64.9,73.4,78.7,76.8,70.3,62.1,44.1,40.9,57.5
1952,40.7,41.1,43.3,57,64.2,76.9,80.5,76.1,68.9,55.3,48.2,38.8,57.6
1953,40.7,42.6,47.5,56.1,70,74.6,79.6,76.3,69.7,60.5,48.1,40.9,58.9
1954,35.9,43.5,44.5,59.6,62.6,74.4,78.7,75.2,73.3,62,45.2,37.1,57.7
1955,35.4,37.8,47.1,58.2,67.1,70.2,82.1,78.3,69.9,59.5,45.5,33.6,57.1
1956,34.5,41.1,43.1,53.6,63.5,73.3,75.5,74.9,66.6,59,46.1,44.1,56.3
1957,32.9,41.4,45.8,59.2,67.2,76.6,79.1,75.6,71.9,55.4,49.6,41.4,58
1958,34.4,31.2,41.4,57.1,65.2,71.3,79.1,75.4,69.1,59.1,49.8,32.9,55.5
1959,34.9,39,45.4,58.4,69.7,75.9,78.5,80.2,73.1,62.2,46.8,42,58.8
1960,38.1,38.3,35.6,61.2,63.7,74.1,77,78.5,71.3,58.7,48.4,31,56.3
1961,29.8,38.3,47.6,52,62.2,73.2,78.6,77.5,74.8,59.5,50.2,36.3,56.7
1962,34.5,34.6,44.2,56.2,68.6,73.8,75.3,76.7,66.9,60.3,44.9,33.2,55.8
1963,31.4,31,48.5,57.8,64.9,73.7,77.6,75.4,66.5,61.1,49.8,31.1,55.7
1964,36.2,36.8,47.5,54,68.1,76,79,75.5,69.9,55,51,39.9,57.4
1965,33.4,36.8,41.4,51.8,69.1,72.6,78.2,77.2,72.6,57.5,49.5,41.4,56.8
1966,32.4,36.2,47.5,52.7,65,76,80.9,78.7,68.6,57,49.5,37.5,56.8
1967,41,34,44.9,57.6,60,74.7,77.2,76.1,67.9,57.9,45,39.8,56.3
1968,31.4,34.3,49.6,57.9,63.7,74.1,79.9,79.2,72,61.3,50,36.6,57.5
1969,34.2,36.9,43,58.6,68.4,77.1,79.5,76.3,70.1,58.8,47.2,36.2,57.2
1970,30,37.1,41.8,55.2,68.2,75.2,79.2,79,75,62.5,49.3,39.7,57.7
1971,31.3,39.1,43.2,55,63.7,75.9,78.3,76.7,73,64.7,48.1,45.5,57.9
1972,38.4,36.5,45.5,54.1,64.5,70.1,77.5,75.9,71,56,46.7,43.6,56.7
1973,37.6,37,51.1,55.9,62.8,77.1,79.2,79.9,74.3,63.3,51.6,41.9,59.3
1974,42.9,39.2,49.1,58.3,65.1,71.5,79,78.3,70.2,57.3,50.8,43,58.7
1975,40.9,40.6,45.2,53.6,69.7,76.3,79.2,80,68.5,63.1,54.4,40.5,59.3
1976,33.8,46.9,51.3,59.9,65,77.6,78.4,76.7,70.3,55.4,43,35.5,57.8
1977,25.4,38.8,52.6,60.1,69.4,74.3,80.8,78.8,73.9,59,51.8,38,58.6
1978,32.4,31.4,44.3,57.7,65.8,76.7,78.8,81.3,73.6,59.4,52.2,43.1,58.1
1979,35.1,28.4,51.5,56,67.7,72.4,78.6,78.5,71.6,58.5,54.4,43.7,58
1980,37.2,36.1,46.2,60.1,69.5,74.8,82.3,82.8,77.1,59.9,48.5,39.7,59.5
1981,33,43.6,47.6,62,66.2,78.7,80.2,77,71,58.3,51.4,38.4,58.9
1982,28.1,38.3,45.6,54,69,72.8,80.2,75.3,70.6,60.1,51.8,45.5,57.6
1983,38.1,38.7,48.7,53.2,64.9,75,81.2,81,72.6,60.4,50.3,36,58.3
1984,32.2,43.8,41.8,54.9,64.9,76.9,76.5,77.8,68.3,65.1,46,45.6,57.8
1985,30.7,37.8,47.7,61.6,68.1,72.3,79,76.7,71.9,61.1,54.3,36.4,58.1
1986,35.3,35.3,47.4,56.2,68,76.6,81,74.6,70.9,61.1,46.5,39.7,57.7
1987,34.7,37,47.7,54.8,67.2,76.4,82.5,78.7,72,54.3,49.9,41.5,58.1
1988,31,37.3,47.2,54.4,65.8,74.4,81.9,80.6,68.9,54.4,49.9,38.7,57
1989,39.8,37.8,46.1,55.4,64.1,76.8,78.3,77,71.4,60.4,47.9,27.9,56.9
1990,43.6,45.2,50.2,56.8,64.2,75,79.3,76.5,69.6,62.7,52,44.5,60
1991,38.5,43,48.8,58.2,73,76.8,81.4,80,71,60.4,48.8,42.3,60.2
1992,38.2,41.2,45,55.4,62.3,71.7,79.5,73.9,69.2,55.9,48.8,39.6,56.7
1993,39.7,34.3,42.2,54.8,67.4,75.3,83.1,79.5,70.9,58,48.8,38.1,57.7
1994,28.8,36.3,45.4,62,63,79.4,81.8,75.5,70.2,59.1,53.4,44.2,58.3
1995,39.5,34.3,49.1,56.3,65.8,74.6,81.4,81.3,70.9,62.3,43.1,35.6,57.9
1996,32.8,37.2,42.9,56.8,63.9,77.2,77.6,76.5,70.5,59.4,44.1,43,56.8
1997,37,44.7,48.7,54,62.9,73.1,80.4,77.6,70.4,59.6,46.1,41,58
1998,43,43.4,46.9,57.4,67.5,73,78.9,79.4,75.4,60,50.3,44.4,60
